,2022-11-23
0,@bayraktar_1love Of Russia is a terrorist state then no EU country should finance their terror by buying the oil and gas from them .
1,"@POTUS Under you America has turned to shit 4 dollar gas , 20% increase in grocery prices, home heating oil up 70% ,2.5 million illegals entering our country yea America is doing fine"
2,@HouseGOP Look at all those oil prices that were higher than today's prices. Makes you wonder why gas prices are so high doesn't it? https://t.co/L4B804dsYy
3,"Sign the petition: We cannot afford any new coal, oil, or gas projects. Urge Congress to reject fossil fuel handouts. https://t.co/t73xX4p3vz"
4,¡Oil &amp; Gas Reporter está disponible! https://t.co/XUwLvyaaaA Gracias a @WorldOil #oilandgas #upstream
5,"@darrell_arts @POTUS 9.1% record inflation.

$7 a gallon gas

Heating oil rationing 

Diesel fuel shortages 

Food &amp; baby formula shortages

Our allies are being invaded

$85,000,000,000 in military equipment given to terrorists 

1000’s of Americans stranded in Afghanistan 

Looming nuclear war"
6,"@ViralVixen_ @JPerryFarm @laurenboebert directed federal agencies to eliminate all supports for fossil fuels, imposed new regulations on oil, gas &amp; methane emissions all in the first few days of taking office &amp; because of that we hit an all time high inflation. Biden and his administration are a cancer to this country"
7,"@GOP Lot's of things are more expensive since voter-dumped Donald Trump did a deal with the Saudi's and OPEC to slash oil production, leading to skyrocketing gasoline prices.

Gas is 50% of inflation!

Thanks for nothing, #Trump and #Republicans!
https://t.co/0Wkb9l6JSs"
8,"The insurance industry that has been insuring coal, oil and gas projects for the last 40 years well aware of the results of their emissions. 

Now ordinary people pay the price. 
https://t.co/ObvCM7FwsD"
9,@WHCOS @POTUS Top accomplishment open borders crime drugs high gas prices high home heating oil inflation CRT in schools last but not least the railroad strike Great Job.
10,"@AshraeChapter @AshraeChile @ashraenews @ASHRAE_RAL Hello everyone,
Please visit https://t.co/qnagBsCJtd to check out many useful courses to up skill yourself.
Many potential job opening are also available.
Thank you
#MEP #HVAC #Electrical #Mechanical #EPC #Oil&amp;Gas"
11,$AMLP - https://t.co/zsBJQc9O1n - AMLP: Less-Risky Exposure To Oil And Gas Still Yielding Over 7%
12,$XLE - https://t.co/Am8UEyBmj2 - AMLP: Less-Risky Exposure To Oil And Gas Still Yielding Over 7%
13,"@ViralVixen_ @JPerryFarm @laurenboebert Because I remember Biden re-entering the Paris climate accord, cancelling keystone pipeline, halting leaseing program in anwar, issued a 60 day halt on all new oil &amp; gas leases &amp; drilling permits on federal lands + waters nationwide which makes up 25% of US oil production..."
14,$XOP $XLE $AMLP NEW ARTICLE : AMLP: Less-Risky Exposure To Oil And Gas Still Yielding Over 7% https://t.co/ywmqVZAvEo Get all the latest $XOP related news here : https://t.co/7zAzjxA1QN
15,@SamRamani2 I bet their ass still buys oil and natural gas from them .
