,2022-12-02
0,"@GustavoBolivar Es una afrenta para la industria oil &amp; gas tener que humillarse ante este par de camajanes, bipolares y criminales económicos. Saben que tienen el País en contra, y de la nada salen a interpretar el nuevo libreto de Guanumen. Ayer hablaban de importar gas, hoy de exportar."
1,"@JDCocchiarella Jack; I can answer that question, because he’s using  and depleting our national oil reserves!
We have 400 years of natural gas, and petroleum under our feet!
Why are we not getting it?!
More and more scientists are coming out saying the world is cooling not warming!"
2,@diegowainstein El colectivo trucho de feministas K se quedo sin gas oil parece.....
3,"Cut off from Russian gas and oil imports, much of the French population faces the prospect of the regular unavailability of heat and light at home this winter. https://t.co/jSCMyfmoTw"
4,¡Oil &amp; Gas Reporter está disponible! https://t.co/Ak8kV2Rj3D Gracias a @WorldOil #oilandgas #upstream
5,"@AmoneyResists @sandibachom Sick of Manchin and his unbreakable homage to money, oil &amp; gas."
6,"↕️ +in case you missed this news last month ~given this era of reducing #emissions &amp; phasing-out oil &amp; gas~ there’s more than a certain irony in the building of an #OffshoreWind farm to-supply-oil-fields-to-reduce-their-emissions https://t.co/xu0veE5pum

▫️https://t.co/h8vD8LLb31 https://t.co/fspQKIQ5yC"
7,The daily lies continue. If our constitutional rights were respected in the original applications TMX would have been built and operating in the hands of Kinder Morgan by now. And Energy east would be supplying Europe with oil and gas rather than Russia. Facts vs. Lies. https://t.co/1dhIDA0Krn
8,"1/2"" FPT Full Port Brass Gate Valve for Gas, Water, Diesel, and Oil Q4RF4T9

https://t.co/0GZH9nA9Uu https://t.co/4xcxt2UMp5"
9,"@freethinking100 @DianaVilliers1 @mloxton @NimbalFrocke @ohJuliatweets So, your two sources are from the “National Homeschooling Education Research Institute” and some shit blog/website called “Admissionly”?

Would you like to learn about climate change from the “National Council of Oil &amp; Gas Corporations”? 

Is this your homeschooling at work?"
10,@kylegriffin1 Another thing he doesn’t fix. Oil and gas don’t have jobs but Ok
11,Fishermen railway workers dr nurses cops veterans republican teachers parents Spanish oil and gas workers  Texans floridians ppl who wanted anti drugs not jab these are just some of the people joe biden fu$÷=d over please remember this in American elections vote red vote red fjb
12,"@duncanedwards8 @magsloveslife2 Also… diverting from the argument. Don’t we need immediacy of supplies from this country from the reserves we have through oil, gas, fracking. Even in the short term???"
13,"@JakeBerry @queenbeeof90 Now let me see @JakeBerry 
Could this be a ploy by #SchwabsPuppet @RishiSunak to stop further U.K. oil &amp; gas production to prevent us becoming energy self sufficient w/o covering the land &amp; sea in environmentally unfriendly turbines &amp; solar panels? 🧐"
14,"@carenrvaughn @Bertbaby34 @WhiteHouse It is most definitely Biden and his administrations fault. Gas prices are up because we're outsourcing, partly in Russia, when we have oil reserve. Groceries are up because of gas which is a chain reaction into restaurants and our wallets. It's 100% the Biden administration fault"
15,"@ghost_java616 @gay4moleman69 @CanadaNuclear Cleaner than coal, oil, gas, solar, and wind... that's pretty clean"
16,Gas $2.99 gal 2day!Y gas so hi just B4 Midterms?Thnk it cuz trump hv rich frends in oil Ind who he hired 2 wrk in his Admin w/rest a corupt losrs thr?Time stop pric gouging repubs 2 TRY mk PRES Biden lk bad!Repubs leavg yr prty 2 bcom Dems cuz see repubs reasn so mny ppl now DEAD https://t.co/l2ohuz0inx
17,Wyoming governor sues Biden administration over oil and gas contract cancellations https://t.co/jcYaKfjTht via @JustTheNews
18,@POTUS You destroyed the oil and gas industry and caused all of this.  Go back to your basement!
19,"@PierrePoilievre Gee, you'd think if free market capitalist oil &amp; gas corporations had a product to sell &amp; customers wanting to buy it, they'd be smart &amp; innovative to get it to the customers to meet demand &amp; maximize profit without big government @CPC_HQ having to step in and do it for them.🤔"
20,ICYMI SaltWire Network's Scott Squires has a weekly chat with Dan McTeague. He's the president of Canadians for Affordable Energy and is known for his handle on the ever-fluctuating price of gas and oil. | SaltWire https://t.co/groQRXbdnI https://t.co/h6NwOt7mtd
21,"@acoyne Because of Trudeaus environmental policies we were not ready at this time, nor will we be due to the fake apocalyptic idea that LNG is almost untouchable.
Trudeau would rather have us cargo ship oil and gas from elsewhere and tax us into oblivion."
22,"Dang you Biden. 

U.S. gas prices plunge toward $3 a gallon as demand drops worldwide https://t.co/pjI3boB1GS"
23,"Texas has more than 100 times the natural gas in storage than is needed for daily power generation, so with proper planning, there is more than enough natural gas to meet the needs of Texans.” https://t.co/HuJAsFNLI3"
24,"@thenorthrmembrs @DarrenACarlson @GovInslee Your mistaken….. oil companies and CEO’s didn’t lower gas prices because Trump was president…. Trumps lift on regulations and drilling lowered prices, biden killed that…. It’s ignorant to suggest otherwise"
25,"Examples of markets with higher barriers to entry are automotive, defense, aerospace, medical, oil and gas … off the top of my head 

Next, are two outreach techniques that have been overwhelmingly effective."
26,"@UnkleTwisted @basia_porter There are hundreds of ways to skim off the top when it comes to oil and gas and that happens in every third world and Dictator oil and gas rich country. Canada could have the moral authority on this, and we absolutely already have some of the highest environmental standards."
27,@Maks_NAFO_FELLA Sure &amp; Ukraine gets fees on Russian oil &amp; gas transiting thru Ukraine
28,"I just signed a @theactionnet petition: Sign the petition: Stop Manchin's Dirty Deal. Congress cannot sacrifice our communities and our climate for oil, coal, and gas industry profits.. Sign here: https://t.co/ImPAFFTnnN"
29,@duncanedwards8 @magsloveslife2 Oil. You socialist pricks keep moaning about the cost of living this winter but also don’t want us to mine cheap oil and gas which is at our disposal… idiots.
30,#DanielleSmithIsUnfitToLead again misses the fact that FIVE very powerful treaties are in #Alberta. They are with the Crown-not the provincial governments. The natural resources and oil/gas that Smith thinks she has sole control over come from “treaty lands.” A’ho!🪶😡🙄 https://t.co/gtIKcSr6Q2
31,"@WashTimes Ok, oil and gas companies should stop selling any of their products in California... see how quickly the state would collapse."
32,@Beeron1030 I know we can't recover the £200Bn of oil &amp; gas revenue 1979-89 that was squandered by Thatcher. But can we avoid a repeat?
33,@ClemMinister Hello; this is not surprising as he is a Oil company stooge and they will be making billions out of this. Just like the gas/electricity companies are. Who will rid the UK of thus troublesome aleged priest.
34,"@CongMikeSimpson What, nothing about gas prices coming down?
263k jobs?
2.9% growth?
No jabs about how the US is falling apart because of the infrastructure deal?
Maybe we could get some tinkle down economics going to help boost the oil companys' bottom line."
35,"@CityCastSLC @AliVallarta @Em_Means13 They fight against anything that would diversify rural economies, because it creates competition for the rural workforce. The oil, gas, and coal companies want to keep people in rural Utah poor and desperate, because they're cheaper to hire. It's disgusting! :P"
36,"The Manchin’s Dirty Dealings our FUTURE

He’s at it again…
He clearly doesn’t live in our world of his decisions…

and 

https://t.co/8VrE6xTCTt
 https://t.co/CKFiZxvkE1"
37,"@DanBennett555 Our inflation was caused by the trade war Trump lost. It added 25% to everything imported, cars, toys, clothes, food. OPEC did the gas and oil."
38,@seanhannity Just like biden shouldn't be aloud to shut down gas and oil for America
39,"#Mozambique: CIP warns that oil and gas sector is vulnerable to #CORRUPTION 
Financial power,technical+human capacity put oil companies in a superior position vis-à-vis experts and institutions of the state, creating asymmetries that may favour CORRUPTION .https://t.co/y3fR1ltxV5"
40,@CTVNews Way to lead with oil and gas in the headline. Stop being so damn lazy in your reporting.
41,"$MULN $NIO $LUCID and so many others to invest in. Oil and gas purposely short these companies and any tech that can save us from ourselves. If you can spare a few dollars to fight back, buy and HOLD this type of stock to keep them alive. And us too. https://t.co/ftZNupVQbq"
