,2022-12-03
0,"@SenateGOP Except the oil and gas companies do not want to do that. The real solution is to stop letting America be held hostage by them. There are many sources of energy, Why does the @GOP want so badly for us to be under the thumb of just one? Answer its the bribes you take!"
1,"@GOP And Biden has created more jobs in 2 years so people can buy gas than TFG did in 4. And most of that one dollar difference is due to Trump’s shady deals with the Saudis and oil company greed. Also, compared to Europe, has in US is cheap. https://t.co/Bo1epT8dL8"
2,"@SandyHasCandy @TomTSEC And somehow, in your brain, you think the ""puppet-master"" hates oil &amp; gas? 
Odd."
3,@MichelleSteelCA If only our idiot Prime Minister didn't kill all our oil &amp; gas  projects Canada would be happy to supply you!
4,"PUMP AMERICAN OIL/NG NOW TO SAVE THE US ECONOMY AND THE EUROPEAN PEOPLE FROM FREEZING TO DEATH YOU STUPID SON OF A BITCH @JoeBiden EV'S ARE 30YRS + FROM BEING A VIABLE, RELIABLE REPLACEMENT FOR GAS, DIESEL VEHICLES! ARE U THAT FUCKING STUPID JOE? YEESSSS! https://t.co/SqrjCA8Kdz"
5,¡Oil &amp; Gas Reporter está disponible! https://t.co/5blaG0Xipa Gracias a @MarcellusGas @WorldOil #oilandgas #upstream
6,@POTUS I especially liked the parts where you ramped up the IRS to go after us po folk for every $600 while draining the country’s oil reserves to lower gas prices before the midterms.
7,"Frozen assets, &amp; ALL of the Revenue from RUs #Oil &amp; #Gas, to #Ukraine's 🇺🇦 Rebuilding!
🇷🇺showing the World their thuggery. 
- KGB 💩tin et al - Were NEVER Going to Play The West's reindeer game$, RU showing their true colors.
#путиннеудачник https://t.co/Tu4V11dZnT https://t.co/MJErlMOu3s"
8,"@RepGrothman @POTUS It’s not the President, it’s simply greed on the part of the oil companies:  https://t.co/H8OnurD3Uo"
9,"@mkolken I would think so. It was an actionable violation of the law for the Obama DOJ &amp; FDIC to be in cahoots with Banks in regards to lending money to Oil&amp; Gas Companies, Pay Day Loan companies and Firearms companies, thought they started against under Biden in November of 2021."
10,XLE3 | Leverage Shares 3x Long Oil &amp; Gas ETP Overview #GasPrices #OilAndGas #PetrolPrices #Gasoline #NaturalGasPrices [Video] https://t.co/K4sx8oSBeS
11,@1NewsNZ Explore oil and gas in Nz I reckon
12,"Twitter Leaks EXPOSE Twitter Making Up Fake Rules To Justify Censoring Hunter Biden Laptop https://t.co/bsarKHTalx 
The only thing keeping them from enslaving you is 2A. They are killing you in every way they can hide.
#MAGA #2A #gas #gasprices #oil #vote #USA #4chan #pedopeter"
13,"ENVIRONMENTAL JUSTICE:

On Friday, following years of effort by environmental justice organizations, the LA City Council banned new oil and natural gas extraction, and voted to phase out all oil and gas extraction in the city.

https://t.co/nAjFzNQca1"
14,@Glitchingchase1 @TamasT16 @alex_avoigt Many small energy generating sources scattered. In addition to solar/wind...nuclear fusion &amp; fission. Coal in places like WVA &amp; PA. Oil &amp; Natural gas along the gulf coast. Hydroelectric in the mountains. Geothermal.
15,"@shay_torgerson you are such a clueless fool who thinks you know anything.
what do you want India to do? sending troops to fight for Russia? Has the US sent you to the battleground in Ukraine? What Russia needs is trade. as long as Gas &amp; oil go out and money comes in, Russia is unbeatable."
16,"@FrankKoss27 @unusual_whales We are drilling close to 95% of our record production and climbing. Oil and gas companies determine what to drill, not the govt. they have the free market to export/import what they want."
17,"Gas prices are down, oil production is up, and Russia's threat to energy markets is evaporating https://t.co/rHmvm6TlKz"
18,"@thangbrandr @mhdksafa Putting the blame on inflation where it rightfully belongs…the concentration of power within relatively few corporations, i.e., oil/gas, big pharma, big ag, healthcare/insurance, etc. - is nothing like singling out groups of people by the color of their skin/religion."
19,"@RNCResearch It sure is the issue along with the crime, inflation, unjust burdening of Patriots, oil fiasco, gas prices, supply chain issues, sluggish covid response, sending vaccines to foreign countries, us of the supply, no baby formula, to name just a few of biden's plan to destroy us."
20,"A party somewhere to the proximate left of Canada's New Democratic Party... that will crush Big Oil &amp; Gas... 

That will destroy monopolies... and end boardroom, C-suite violence and Billionaire Wars waged against the American people. 

3) https://t.co/SkbdxIo5ye"
21,"@AGovciyan @Mairie9Paris @dburkli While #Armenia kill Ukrainians and sells Russian oil and gas, #Azerbaijan provides free gasoline to #Ukraine, thousands of tons of help every week, and ammunition. GUAM will prevail against the Russian-armenian-iranian axis! https://t.co/yi5LS9H6qz"
22,@POTUS I'm glad electricity is free from gas coal or oil.. I remember a guy made a car that ran off water. And with teslas technology's from centuries ago electricity is free too...
23,"Yep, God wasn't wrong there, either. And look how long the sun has shined...a miracle? Yep.
 I guess y'all don't want to here that air, water, oil, gas, coal and wood are all renewable resources.
 That goes against the agenda of stupidity. https://t.co/JRrwKk8CuA"
24,"@BusyBurn @robbieofthelake @RachelNotley @ABDanielleSmith PLENTY

#Oil_and_Gas_does_not_love_you"
25,@TeslaAndDoge No and oil and gas will never go away either. Not for like maybe another 500 years.
