,2022-12-01
0,@BBCNews You have a responsibility to explain why ordinary people feel compelled to cause disruption because the government chooses to ignore the climate emergency and license new oil and gas which will destroy all that we love. https://t.co/BBsdsR3hKR #TellTheTruth @JustStop_Oil
1,@Marmee33 https://t.co/MeXmoIOgc9
2,"@Sadiksmart7 @mohamedamiin2 @Qatari You can't buy ""respect"" with your Qatari Oil/Gas Money 😂"
3,¡Oil &amp; Gas Reporter está disponible! https://t.co/Ozqs3w7S2L Gracias a @MarcellusGas #oilandgas #upstream
4,"#Gold #Silver and #Crypto update for 12/01/22 - Huge jump for #Gold

https://t.co/NaPM7pq1iS

#IraqiDinar #Pimpy #VietnamDong #Zimdollar #Gas #GoldInvestingStrategy #IQD #Mining #Oil https://t.co/sD3icElOZ0"
5,"@SenJohnKennedy Hey Goober, oil is low and gas under $3.
What in the actual fuck are you talking about?"
6,@KristiannNZ @Infideliter2022 @LeeMcClymont @SayinMinds @kiwinizzel1 @elonmusk They'd scrap the oil and gas ban.
7,"@Xoxo12345098 Maybe not Pertamina but her mom has been working in oil &amp; gas industry SINCE early 90s. The info is available on her mom's LinkedIn profile &amp; FB. 

During orba that field was reserved for those who has connection to the ruling elites."
8,"@RepAndyBiggsAZ I see you're not talking about gas prices, why is that Andy? Because it wasn't because of Biden's policies?
https://t.co/VQ5CwNCfNS"
9,"@CobaltKitsune @GmorkOfNothing The same oil field is under both Pennsylvania, Ohio,  and Kentucky as well.  It was having oil, gas and oil that allowed such early industrial cities and made Huntington WV the 2nd in the nation to have electrified street cars Richmond beat it by a few months."
10,"@FabiusMaximus01 @jokekerr @_richardblack Wind and solar are cheaper per kWh than oil, gas and coal. They’re also renewable, recyclable, and quicker to deploy and easier to manage.

A 100% fossil fuel grid is more expensive to run than a grid where some of the energy is produced by nuclear and/or renewables."
11,Where did the tank discount go?: Cartel Office: Gas price agreements not provable: Did the fuel discount really benefit motorists or did it end up in the coffers of the oil companies? An investigation by the Federal Cartel Office does not provide any… https://t.co/73oxd58yoy
12,@ruth_deyermond This is why Germany has barely helped Ukraine. They still want to renew oil/gas deals with Putin.
13,"@ScottStelloh @JesseKellyDC @RitaPanahi Yes but, they aren’t just tying to destroy oil and gas. They’re trying to completely dismantle the west."
14,"@CNN Yo, America’s, Strategic Oil Reserves is being drained, at a rapid pace, almost half empty. Under Trump, gas was under $2 in the winter months, without draining US reserves. America could be sitting fat as a cow , supplying  entire Europe with energy sources, like natural gas."
15,"@GavinNewsom OMG your communication team is very annoying. Restrictive regulations on our very few refineries, special required gas blends, zero pipelines to bring oil to CA to refine, and your outrageous fuel taxes all make fuel scarce and hense higher costs for CA residents."
16,"@dakotawolfie @RepTroyNehls And then Trump told the Saudis to cut oil production so Trump's buddies - the heads of the US gas companies   -  would make more money!
The US is giving oil plots to the US gas companies but they're not drilling them. They're making more money without them."
17,"@Moody1953 @TalesTucson @LCDLAW1 And let's not forget that the reason gas prices dropped so low in 2020, under trump, is because demand dropped through the floor.
As someone who was in the business for 25 years, I'm sure you remember that fleeting moment when the price of oil actually went negative in 2020."
